paper_id,spec_id,outcome,estimate,p_value,baseline_group_id,closest_baseline_spec_id,is_baseline,is_core_test,category,notes,confidence
116359-V1,baseline_t5c1,taubar,0.0001185033143311602,0.002863972725939542,G1,baseline_t5c1,TRUE,TRUE,baseline,"Table 5 Col 1: taubar ~ distance + internatl, OLS, N=413. Primary baseline for overland trade costs.",high
116359-V1,baseline_t5c2,taubar,-3.408779253071858e-05,0.44499049402904556,G1,baseline_t5c2,TRUE,TRUE,baseline,"Table 5 Col 2: taubar ~ dmichpav + dmichunp + dmichwat + internatl, OLS, N=413. Road-type decomposition.",high
116359-V1,baseline_t5c3,taubar,0.00011889705159569817,0.0028279194750215715,G1,baseline_t5c3,TRUE,TRUE,baseline,"Table 5 Col 3: taubar ~ distance + internatl + atleastone500, OLS, N=413. With population control.",high
116359-V1,baseline_t5c4,taubar,-4.066087450878659e-05,0.36727227814724117,G1,baseline_t5c4,TRUE,TRUE,baseline,"Table 5 Col 4: taubar ~ dmichpav + dmichunp + dmichwat + internatl + atleastone500, OLS, N=413.",high
116359-V1,baseline_t6c1,taubar,0.00015271684556283997,0.3011295615583768,G2,baseline_t6c1,TRUE,TRUE,baseline,"Table 6 Col 1: taubar ~ distance + language, OLS clustered by country pair, N=135.",high
116359-V1,baseline_t6c2,taubar,7.185642929381114e-05,0.5795336422892119,G2,baseline_t6c2,TRUE,TRUE,baseline,"Table 6 Col 2: taubar ~ distance + FTA, OLS clustered by country pair, N=135.",high
116359-V1,baseline_t6c3,taubar,7.648872721483297e-05,0.572816183314125,G2,baseline_t6c3,TRUE,TRUE,baseline,"Table 6 Col 3: taubar ~ distance + corruption, OLS clustered by country pair, N=135.",high
116359-V1,baseline_t6c4,taubar,5.911210439380818e-05,0.6659800858608438,G2,baseline_t6c4,TRUE,TRUE,baseline,"Table 6 Col 4: taubar ~ distance + LPI customs, OLS clustered by country pair, N=135.",high
116359-V1,baseline_t6c5,taubar,4.954132462860367e-05,0.7041714119432863,G2,baseline_t6c5,TRUE,TRUE,baseline,"Table 6 Col 5: taubar ~ distance + all controls, OLS clustered by country pair, N=135. Kitchen-sink.",high
116359-V1,baseline_tA13c1,taubar,-0.010933454454235367,0.28195649753445584,G3,baseline_tA13c1,TRUE,TRUE,baseline,"Table A13 Col 1: taubar ~ corrupt2013 + sub500 + hivol + gdppercap + lpicustoms, OLS clustered by country, N=47.",high
116359-V1,baseline_tA13c2,taubar,-0.020783794034760567,0.08511898854688592,G3,baseline_tA13c2,TRUE,TRUE,baseline,"Table A13 Col 2: adds trains to Col 1, OLS clustered by country, N=43.",high
116359-V1,robust/se/hc1,taubar,0.0001185033143311602,0.010157703166399197,G1,baseline_t5c1,FALSE,TRUE,core_se,"HC1 robust SE for baseline T5C1. Same coefficient, SE changes from 3.95e-05 to 4.61e-05. Still significant at 5%.",high
116359-V1,robust/se/hc3,taubar,0.0001185033143311602,0.011333789490409574,G1,baseline_t5c1,FALSE,TRUE,core_se,"HC3 robust SE for baseline T5C1. Same coefficient, SE changes to 4.68e-05. Still significant at 5%.",high
116359-V1,robust/cluster/origin_country,taubar,0.0001185033143311602,0.03409552956718952,G1,baseline_t5c1,FALSE,TRUE,core_se,"Cluster on origin country. Same coefficient, larger SE (5.59e-05). Still significant at 5%.",high
116359-V1,robust/cluster/dest_country,taubar,0.0001185033143311602,0.09191560783258504,G1,baseline_t5c1,FALSE,TRUE,core_se,"Cluster on destination country. Same coefficient, largest SE (7.03e-05). Marginally insignificant at 5%.",high
116359-V1,robust/cluster/roadtype,taubar,0.0001185033143311602,0.026312800615260576,G1,baseline_t5c1,FALSE,TRUE,core_se,"Cluster on road type. Same coefficient, SE = 5.33e-05. Significant at 5%.",high
116359-V1,robust/form/log_log,log_taubar,0.1250748246809573,0.03257688617287826,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Log-log specification: log(taubar) ~ log(distance) + internatl. Positive elasticity (0.125). Significant at 5%.",high
116359-V1,robust/form/log_level,log_taubar,0.0006924594919865787,0.0001463082137558794,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Semi-log: log(taubar) ~ distance + internatl. Positive and highly significant (p<0.001).",high
116359-V1,robust/form/quadratic_distance,taubar,6.547902479870301e-05,0.5925876436416737,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Quadratic in distance. Linear term positive but insignificant (p=0.59); quadratic term also insignificant.",high
116359-V1,robust/form/asinh_outcome,asinh_taubar,0.00011222790537919006,0.0022278344036784424,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Asinh(taubar) as outcome. Positive distance coefficient, significant at 1%.",high
116359-V1,robust/form/perkm_outcome,taubar_perkm,0.002544209372343488,0.029450388749133482,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Per-km trade cost as outcome, internatl as treatment. International links have higher per-km costs. Significant at 5%.",high
116359-V1,robust/form/quantile_50,taubar,9.734680049372778e-05,2.1297126436062886e-05,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Median regression (50th percentile). Positive distance coefficient, highly significant.",high
116359-V1,robust/form/quantile_25,taubar,4.5808351572176366e-05,0.0017545616104143564,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"25th percentile regression. Positive distance coefficient, significant at 1%.",high
116359-V1,robust/form/quantile_75,taubar,0.0001864866509773788,0.0004938835822739177,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"75th percentile regression. Positive distance coefficient, significant at 1%. Larger magnitude than median.",high
116359-V1,robust/controls/distance_only,taubar,0.00010466751003205444,0.009332207589953147,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Distance only (no internatl dummy). Positive, significant at 1%.",high
116359-V1,robust/controls/internatl_only,taubar,0.06364985526886474,0.00020692978454624637,G1,baseline_t5c1,FALSE,TRUE,core_controls,"International dummy only (no distance). Positive, highly significant.",high
116359-V1,robust/controls/add_roadtype_dummies,taubar,0.00010619830562122686,0.007136874566785357,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Add road type dummies to baseline. Distance coefficient stable, significant at 1%.",high
116359-V1,robust/controls/dist_x_roadtype,taubar,7.654218284989743e-05,0.09206570116789548,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Distance x road type interactions. Paved road distance coefficient positive but marginally insignificant.",high
116359-V1,robust/controls/kitchen_sink,taubar,0.00010648301716541181,0.0071488898699866655,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Kitchen sink with road type dummies + population. Distance coefficient stable, significant at 1%.",high
116359-V1,robust/controls/separate_pop_dummies,taubar,0.00011766134859077797,0.0032131107559140895,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Separate population dummies (one500, both500) instead of atleastone500. Distance coefficient stable.",high
116359-V1,robust/controls/add_michpaved,taubar,7.793902573462256e-05,0.04553863953534332,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Add michpaved indicator. Distance coefficient attenuated but still significant at 5%.",high
116359-V1,robust/controls/add_all_michelin,taubar,7.634837259162123e-05,0.04775025328252717,G1,baseline_t5c1,FALSE,TRUE,core_controls,"Add all Michelin road type indicators. Distance coefficient attenuated, significant at 5%.",high
116359-V1,robust/outcome/pertkm,pertkm,-0.007578941776546097,0.00539315299910598,G1,baseline_t5c1,FALSE,TRUE,core_funcform,"Per-ton-km cost as outcome. Negative distance coefficient expected (longer links have lower per-km cost). Significant.",high
116359-V1,robust/sample/domestic_only,taubar,0.00012851705060306463,0.003687984942835031,G1,baseline_t5c1,FALSE,TRUE,core_sample,"Domestic links only (N=271). Positive, significant at 1%. Slightly larger magnitude than baseline.",high
